"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
"48",49,56,1.16500273849196,0.0270857634959546,1.11251456354088,1.12081149568613,1.14662105466992,1.16479283481381,1.18315560353457,1.20990998299494,1.21868377060674,2020-04-22
"49",50,57,1.17070917709516,0.0266483527311219,1.11905624702233,1.12722408931849,1.15262662511499,1.17050698828264,1.1885713202565,1.21488395033784,1.2235111220109,2020-04-23
"50",51,58,1.19169520723937,0.0264299598495242,1.14045085158992,1.14855758323851,1.17376356780163,1.19149982103431,1.20941385334268,1.23549931226778,1.24404991969558,2020-04-24
"51",52,59,1.22933569052508,0.0263718518446984,1.17818571448479,1.18628185443704,1.21144685229401,1.22914711832689,1.24701896331558,1.27303276430593,1.28155730060253,2020-04-25
"52",53,60,1.24419288494373,0.026005476579383,1.19373985262271,1.20172892208821,1.22655509733362,1.24401170529188,1.26163316573248,1.28727486873897,1.2956755406179,2020-04-26
"53",54,61,1.25956598824924,0.0255779099180321,1.20992796449012,1.21779142464888,1.24222087660181,1.25939285626246,1.27672236585388,1.30193112136704,1.31018790170112,2020-04-27
"54",55,62,1.23636396720359,0.0247322262840721,1.18835998043524,1.19596627970718,1.21959366181627,1.23619905662005,1.25295450078398,1.27732418020079,1.28530512249543,2020-04-28
"55",56,63,1.23553913013987,0.0241198492393149,1.18871263998428,1.19613499795631,1.21918611924589,1.23538218003527,1.2517210470022,1.27547863382936,1.28325755051657,2020-04-29
"56",57,64,1.28367616135262,0.0240117804597764,1.23704078595016,1.24443729019232,1.26739988874661,1.2835264471537,1.29978922779307,1.32342572158422,1.33116234645393,2020-04-30
"57",58,65,1.3941368421575,0.0244134976984976,1.34669346943524,1.35422472711475,1.37759343336304,1.39399433868158,1.41052490516784,1.43453504971497,1.44239004725765,2020-05-01
"58",59,66,1.42367330797147,0.0239348895854132,1.37714407148897,1.3845340092715,1.40745719130519,1.42353917857069,1.43974320751136,1.4632701343856,1.47096478806837,2020-05-02
